11-17 22:58:59 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 392:Plugin executed on: 'win32'
11-17 22:58:59 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 393:Plugin executed with python version: '3.9.16 (main, Aug  8 2023, 05:38:28) [MSC v.1936 64 bit (AMD64)]'
11-17 22:58:59 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 394:KiCad build version: 7.0.8
11-17 22:58:59 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 395:Plugin version: 2.1.3
11-17 22:58:59 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 396:Frame repr: <wx._core.Frame object at 0x0000022020D41EE0>
11-17 22:58:59 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 420:Preparing replicator with R71 as a reference
11-17 22:58:59 com_github_MitjaNemec_ReplicateLayout.replicate_layout 117:getting a list of all footprints on board
11-17 22:58:59 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 468:source anchor footprint is 'R71'
Located on: ['R_LTC', 'DCH1']
With filenames: ['Ltc.kicad_sch', 'Discharge.kicad_sch']
With sheet_id:['R_LTC', 'DCH1']
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
